Rubric,Remedies.,Meaning
Homeosetu Clinical Repertory; Boericke; Cough; Dry :,"abrot., acal., acon., ail., am-br., am-i., am-m., ant-s., ap-g., apis., apoc., aral., ars., ars-i., asc-t., bar-c., bell., brom., Bry., calc., camph., canth., caps., cast-v., cham., chlf., cimic., coch., cod., coff., coll., con., cor-r., cur., dros., dubin., dulc., euph., ferr., ferr-p., form., gad., gels., guai., gymn., hep., hydr., hydr-ac., hyos., hyosin., ichth., ign., inul., iod., just., kali-br., kali-c., kali-n., lach., laur., lip., lob-s., lycpr., mag-m., mag-p., mati., med., menth., menthol., morph., myrt-c., naja., nat-c., nicc., nit-ac., nux-v., ol-j., osm., petr., ph-ac., phos., phyt., pop-c., psor., puls., rad-br., rhus-t., rumx., rumx-ac., sabad., samb., senec., sep., spong., squil., stann., stann-i., stict., still., syph., tab., tela., teucr., thuj., thyr., trinit., tub., vanad., viol-o., wye., xan., zinc., zing., ziz.",
Homeosetu Clinical Repertory; Boericke; Cough; Explosive : ,caps.,
"Homeosetu Clinical Repertory; Boericke; Cough; Pregnancy, of : ",kali-br.,
Homeosetu Clinical Repertory; Boericke; Cough; Reflex : ,"cer-ox., ign., kali-br.",
Homeosetu Clinical Repertory; Boericke; Cough; Spasmodic : ,"agar., alum-sil., Am-br., ambr., aml-n., ant-t., aral., arn., blatta., brom., cact., calc-f., carb-ac., carb-v., cast-v., cer-ox., chel., cina., coc-c., cor-r., cupr-acet., cupr-s., dros., dulc., euph., ferr., hydr-ac., hyos., ign., kali-m., lact., laur., led., mag-m., mag-p., Meph., osm., ouabin., per., pisc., rad-br., sang., still., trif-p., viol-o., visc., zinc.",
Homeosetu Clinical Repertory; Boericke; Cough; Tickling : ,"anth., ap-g., bell., calc., cham., chlf., ferr-p., gymn., ham., iod., lac-c., lach., lact., laur., led., lyc., mag-c., mag-p., meli., myrt-c., nat-m., nit-ac., oena., ol-j., ph-ac., phos., phyt., rad-br., rumx., Salv., salv-sc., sanguin-n., sep., sol-n., spong., stann-i., teucr., verat., wye.",
Homeosetu Clinical Repertory; Boericke; Coxalgia :,"am-m., canth., carb-an., euph., gamb., kali-bi., lach., merc., petr., sil.",
Homeosetu Clinical Repertory; Boericke; Cracks in skin : ,"acon-l., anac-oc., cadm., Calc-f., calc-i., cist., corn-a., eug., graph., hep., mang., merc-i-r., nat-c., Petr., pix., sabad., sars., sil., viol-t., x-ray., xero.",
Homeosetu Clinical Repertory; Boericke; Cramp : ,"act-sp., aeth., agar., agar-ph., alst-s., am-c., ambr., anac., anag., ang., antipyrin., apoc-a., aran., arg., arge., ars., berb-a., bism., botul., brach., brom., bruc., bufo., but-ac., calad., calc., camph., carb-ac., carb-v., Carb-s., cho., cic., cimic., cocc., coch., coloc., Cupr., cupr-ar., cycl., dios., diosm., eug., eup-per., eupi., ferr., ferr-m., frax., gels., gnaph., grat., hyos., hyper., ign., jatr., lac-c., lach., lact., lat-m., lath., lim., lob., lyc., mag-p., magn-gr., mang., mang-o., meny., mez., mom-ch., nux-v., oci., ol-an., olnd., oxyt., ph-ac., phys., physal., pin-s., pip-n., plat., plb., plb-acet., prun., ptel., rad-br., rhod., ric., sarcol-ac., sec., sil., sol-t., stann., stront-c., stry., sul-ac., thlaspi., thyr., trif-p., tril., trinit., trio., valer., verat., verb., vesp., vib., vip., zinc-s., zing.",
"Homeosetu Clinical Repertory; Boericke; Cramp; Stomach, in :","act-sp., agar-ph., aran., botul., But-ac., calc., carb-v., cocc., Coch., grat., hyos., ign., jatr., pip-n., trinit., trio.",
"Homeosetu Clinical Repertory; Boericke; Cravings, morbid :",stront-n.,
Homeosetu Clinical Repertory; Boericke; Cretinism :,thyr.,
Homeosetu Clinical Repertory; Boericke; Croup : ,"acet-ac., acon., ail., alum-sil., am-caust., ant-i., arum-d., brom., bry., calc-f., calc-i., euph., ferr-p., hep., ictod., iod., ip., kali-bi., kali-br., kali-chl., kali-n., kali-s., meph., petr., samb., Spong., verat-v.",
Homeosetu Clinical Repertory; Boericke; Crusta lactea :,"astac., calc., calc-i., jug-r., kali-m., merc., rhus-t., sars., scroph-n., trif-p., ust.",
Homeosetu Clinical Repertory; Boericke; Cuts :,,
Homeosetu Clinical Repertory; Boericke; Cystitis : ,"anan., aspar., benz-ac., Bor-ac., camph-ac., cub., epig., fab., gali., juni-v., linu-u., lith-c., methyl., myrt-c., ol-sant., oxyd., pip-m., Pop., rhus-a., sabal., sant., saur., sep., staph., Stigm., terebe., thlaspi., tritic., tub., urotrop., uva., xanrhoe., xanth.",
Homeosetu Clinical Repertory; Boericke; Cystitis; Chronic : ,"bor-ac., epig., lith-c., ol-sant., sant., sep., thlaspi., tub., xanth.",
Homeosetu Clinical Repertory; Boericke; Cysts : ,"aur-i., bov., calc-f., calc-s., coloc., dam., ferr-py., gaul., kali-br., lith-be., ov., sil., tritic.",
Homeosetu Clinical Repertory; Boericke; Dandruff : ,"am-m., ars., bad., coch., kali-m., kali-s., med., phos., sanic., thuj.",
Homeosetu Clinical Repertory; Boericke; Day-blindness : ,both-l.,
Homeosetu Clinical Repertory; Boericke; Deafness :,"agra., all-s., ant-c., ars-i., asar., aur., bapt., calc., calc-f., calc-s., calen., caust., cheir., chen-a., chin-s., chin-sal., elaps., Ferr-pic., gua., hep., hydr., iod., iris., kali-s., lob., lyc., mag-c., mang., med., menthol., merc-d., nat-sal., petr., querc., sal-ac., sulph., tab., tell., thiosin., vario., verb., viol-o., visc.",
Homeosetu Clinical Repertory; Boericke; Deafness; Catarrhal :,"all-s., asar., merc-d., petr., sulph., thiosin.",
Homeosetu Clinical Repertory; Boericke; Debility : ,"abies-c., Acet-ac., alst-s., alum., am-caust., ang., ant-t., arg-n., arn., ars., ars-i., bals-p., bell-p., bol., calc-hp., calc-p., caps., carb-ac., carb-an., carb-v., card-m., cast., caul., chelo., Chin., con., corn-f., cur., cypr., dam., dig., echi., epil., ferr., ferr-i., galeg., glyc., goss., graph., gua., helon., hydr., iber., iod., kali-br., kali-c., kali-hp., kali-n., kreos., lev., lob-c., lyc., Macroz., meli., merc., merc-cy., nat-c., nat-h., nat-m., nicc., ovi-g-p., parth., ph-ac., phos., pic-ac., psor., puls., pyrog., rhus-g., sabal., samb., sec., sel., spig., Stann., stroph., sul-ac., sulo-ac., syph., trib., tub-a., uran-n., ust., zinc., zinc-o., zing.",
Homeosetu Clinical Repertory; Boerike; Debility; Nervous : ,"cur., dam., nicc., phos., puls.",
Homeosetu Clinical Repertory; Boericke; Descemetitis : ,"gels., kali-bi.",
Homeosetu Clinical Repertory; Boericke; Decubitus : ,"bapt., fl-ac., pyrog.",
Homeosetu Clinical Repertory; Boericke; Delirium : ,"absin., acet-ac., acon., aeth., Agar., ail., anh., ant-t., apom., arn., ars., bapt., bell., bor., bry., cann-i., canth., caps., chlf., cic., cimic., cupr-ar., euph-l., gall-ac., gels., hed., hoit., hydr-ac., hyos., iris-fl., kali-br., kali-p., kou., lach., lact., lup., merc-c., methyl., morph., mygal., oena., op., oper., passi., past., ph-ac., phos., plb., podo., ran-b., rhus-t., sabad., sol-n., stram., sumb., syph., ter., teucr., trinit., verat., verat-v.",
Homeosetu Clinical Repertory; Boericke; Delirium tremens : ,"agar., ars., cann-i., Caps., cimic., lach., lact., passi., past., Ran-b., stram., sumb., teucr.",
Homeosetu Clinical Repertory; Boericke; Deltoid; Pain in : ,"coloc., ferr-acet., gua., lycpr., urt-u.",
Homeosetu Clinical Repertory; Boericke; Deltoid; Rheumatism of :,"kalm., viol-o.",
Homeosetu Clinical Repertory; Boericke; Delusions : ,"brom., calc-ar., crot-h., indol., Kali-br., lach., lat-h., meli., morph., plb., stram., sulph., verat.",
Homeosetu Clinical Repertory; Boericke; Dementia : ,"anac., bar-c., cann-i., Carb-s., nat-sal., pic-ac., plb.",
Homeosetu Clinical Repertory; Boericke; Dental fistula : ,"caust., fl-ac.",
Homeosetu Clinical Repertory; Boericke; Dentition :,"aeth., calc., calc-p., caust., cham., cimic., Kreos., mag-m., phyt., podo., Rheum., scut., sol-n., ter., zinc., zinc-br.",
Homeosetu Clinical Repertory; Boericke; Dentition; Difficult : ,"calc., podo., rheum., zinc.",
Homeosetu Clinical Repertory; Boericke; Depression of spirits :,"lil-t., orni., podo.",
Homeosetu Clinical Repertory; Boericke; Desquamation : ,"Euph-l., kali-s.",
Homeosetu Clinical Repertory; Boericke; Diabetes : ,"acet-ac., alf., arist-m., ars., ars-br., bor-ac., carb-ac., carl., chion., coca., cod., crat., cupr-ar., cur., eup-pur., fel., glyc., helon., insulin., inul., kali-acet., kali-br., lac-ac., lycps., mag-s., manz., meny., mosch., nat-l., nat-m., nat-s., op., pep., ph-ac., Phase., phlor., rhus-a., stry-ar., syzyg., uran-n., urea., vanad., vince.",
Homeosetu Clinical Repertory; Boericke; Diabetes; Insipidus :,"alf., eup-pur., helon.",
Homeosetu Clinical Repertory; Boericke; Diabetes; Mellitus : ,"chion., cur., helon., insulin., syzyg.",
Homeosetu Clinical Repertory; Boericke; Diabetes; Pancreatic :,pep.,
Homeosetu Clinical Repertory; Boericke; Diaphragm; Affections of : ,gels.,
Homeosetu Clinical Repertory; Boericke; Diaphragm; Cramp in : ,sec.,
Homeosetu Clinical Repertory; Boericke; Diaphragm; Paralysis of : ,morph.,
Homeosetu Clinical Repertory; Boericke; Diaphragmitis : ,cact.,
Homeosetu Clinical Repertory; Boericke; Diarrhoea : ,"abrot., acal., acon., acon-l., aeth., agar., agra., ail., aloe., Alst-s., alum., am-m., ambro., anemps., ang., ant-c., ant-t., ap-g., aphis., apis., aral., aran., arg-n., arn., ars-i., ars-met., arund., asaf., asar., asim., aster., aur., bac., bapt., bell-p., berb., bism., bor., bov., cact., caes., calc., calc-f., calc-hp., calc-p., calc-s., calth., capp., carb-ac., carb-v., Carb-s., card-m., casc., cast-v., cean., cetr., cham., chap., chel., chin-ar., cic., cina., cinnam., cist., coll., colos., corn., coto., croto-t., cupr., cupr-acet., cupr-ar., cycl., cypr., cyt-l., dig., dios., diosm., dulc., echi., elaps., elat., emetin., epil., Eucal., euon-a., euph-l., fel., ferr., ferr-cy., fil., fl-ac., form., fuch., gamb., gels., ger., glech., glon., gnaph., graph., grat., gua., guai., haem., hyos., ichth., ign., ingluv., iod., iodof., iris., jab., jac-c., jal., jatr., jug-c., juglin., kali-acet., kali-br., kali-c., kali-chl., kali-m., kali-n., kali-p., kali-s., kreos., lem-m., liatr., linu-c., lyc., lycpr., mang-o., manz., merc-d., merc-s., mez., morph., nabal., narc-ps., nat-c., nat-m., nat-p., nat-s., nat-sulo., nect., nicc., nit-ac., nuph., nux-v., nym., oeno., op., oper., opun-f., oreo., ox-ac., paeon., pancreat., passi., pep., petr., ph-ac., phel., phos., plan., podo., prun., puls., pyrog., querc., ran-s., rat., rham-cal., rham-cath., rheum., rhus-t., ric., rubu., rumx., sabad., sac-alb., sal-ac., Sang., sanic., scut., sep., serp., sil., staph., stel., stict., stront-c., stry-ar., sul-ac., sulph., tab., tart-ac., ter., thuj., trich-d., tril., trinit., trio., trion., tub., typh., upa-a., urt-u., valer., verat., xan., zinc., zinc-o., zing.",
Homeosetu Clinical Repertory; Boericke; Diarrhoea; Camp : ,"alst-s., jug-c.",
Homeosetu Clinical Repertory; Boericke; Diarrhoea; Chronic : ,"ang., ars-i., bov., cetr., chap., coto., epil., ger., graph., Iodof., nabal., petr., rham-cath., stry-ar., thuj., tril., urt-u.",
Homeosetu Clinical Repertory; Boericke; Diarrhoea; Nervous :,oeno.,
"Homeosetu Clinical Repertory; Boericke; Diarrhoea; Night, at :","diosm., iris., nabal., stront-c.",
"Homeosetu Clinical Repertory; Boericke; Diarrhoea; Phthisis, of : ","ars-i., calc-hp., cetr., coto., cupr-ar.",
Homeosetu Clinical Repertory; Boericke; Digestion; Disordered :,fel.,
Homeosetu Clinical Repertory; Boericke; Digestion; Too rapid :,rob.,
Homeosetu Clinical Repertory; Boericke; Digestion; Slow : ,"aesc., bism., carb-v., chin., eucal.",
Homeosetu Clinical Repertory; Boericke; Digestion; Weak :,"anac., carb-an., Hydr., inul., lyc., merc., nat-c., nicc., nicc-s., prun-v.",
Homeosetu Clinical Repertory; Boericke; Diphtheria : ,"agar-ph., ail., am-c., am-caust., ars., ars-i., bar-m., brom., carb-ac., cean-tr., chin-ar., chr-ac., Diph., ferr-m., ferr-p., kali-bi., kali-ma., kali-n., kali-p., lac-c., lac-v-f., Lach., lob., lyc., merc-cy., merc-i-r., nit-ac., petr., phyt., pyrog., tarent-c., vinc.",
Homeosetu Clinical Repertory; Boericke; Diplopia : ,"arn., bell., coca., crot-h., cycl., dig., ger., hyos., iodof., olnd., oxyt., phos., syph.",
Homeosetu Clinical Repertory; Boericke; Dislocation : ,"arn., cann-s., hep., irid., lachn., m-aust., mag-c., nat-c., rhus-t., sanic., x-ray.",
Homeosetu Clinical Repertory; Boericke; Dislocation; Easy : ,"hep., m-aust., nat-c., rhus-t., x-ray.",
Homeosetu Clinical Repertory; Boericke; Dissection wounds :,"anthr., ars., crot-h., lach., pyrog.",
Homeosetu Clinical Repertory; Boericke; Distention :,"abies-c., abrot., acal., acet-ac., act-sp., aesc., agar., alf., alum., alum-sil., am-c., ambr., anac., anth., anthro., apis., apoc., aran., Arg-n., arn., Asaf., bapt., bar-c., bell., bor., bov., brom., cact., caj., calc., calc-ar., calc-sil., calen., camph., cann-i., carb-ac., carb-an., Carb-v., Carb-s., cench., cham., chel., chin., cic., coca., cocc., colch., coloc., conv., corn., crot-h., dig., ferr., fl-ac., gamb., gent-c., graph., grat., guai., ham., hedeom., hell., hep., hyos., iodof., jal., jatr., jug-c., jug-r., kali-c., kreos., laur., lil-t., lycps., mag-c., mag-s., meny., merc., morph., mosch., nat-m., nat-n., nux-m., nux-v., onis., op., orni., pareir., petr., ph-ac., podo., prun-v., Puls., raph., rhus-t., rob., sabin., sang., sars., scut., seneg., serp., sil., slag., spong., stront-c., sumb., tab., ter., thuj., thymu., vac., zinc.",
Homeosetu Clinical Repertory; Boericke; Distortions : ,"cadm., camph., chin., cic., cina., cupr., op., sec., stram., tell.",
Homeosetu Clinical Repertory; Boericke; Diuresis :,"arg., coch., coffin., Eucal., kali-c., kali-chl., kali-hp., mate., sac-l., Ser-ang., uran-n., verin.",
Homeosetu Clinical Repertory;  Boericke; Dizziness :,"acon., ambr., ant-t., antipyrin., arn., art-v., astra-me., bad., benz., botul., brom., Carb-s., chin., chlf., echi., Erio., gels., glon., hydrang., indg., lact., lith-c., lith-m., lob-p., Lup., mom-b., oena., onos., oreo., phel., rham-cal., rhodi., senec., stann., tarent-c., trich-d., tril., Trinit., vesp., wye., xan.",
Homeosetu Clinical Repertory; Boericke; Dreams :,"abies-n., Acon., adon., agar., all-c., alum., ambr., anac., apis., arg-n., arn., ars., aur., bapt., bism., bor., brom., but-ac., cact., calc., calc-f., cann-i., cann-s., Carb-s., cast., cench., ceph., cham., Chin., chlol., cic., cimic., cob., coff., colch., crot-c., crot-h., daph., dios., elaps., equis., euph-l., eupi., ferr-p., hydr-ac., ign., joan., kali-br., kreos., lac-c., lil-t., lyc., mag-m., mang., med., meli., menis., meph., morph., myric., nat-c., nat-m., nat-p., nat-s., nux-m., nux-v., op., orig., oxyt., paeon., ph-ac., Phos., pic-ac., pip-m., ptel., pyrog., rad-br., ran-s., rhus-g., rhus-t., salx-n., scut., sec., senec., sil., sol-t-ae., sulph., thea., thymol., tub., ust., viol-t., x-ray., xan.",
Homeosetu Clinical Repertory; Boericke; Dropsical swellings : ,"brass., bry., dig., eup-per., kali-n., merc., samb., stroph.",
Homeosetu Clinical Repertory; Boericke; Dropsy : ,"acet-ac., adon., ampe-qu., anag., andr., apis., Apoc., aral-h., arn., asc-c., asc-i., aspar., aur., blatta-a., brass., bry., cahin., calc-ar., card-m., cedr., chim., chin., cit-ac., coch., coffin., coll., conv., crat., dig., elat., equis., eup-per., eup-pur., ferr., fl-ac., gali., hell., iber., iris-g., jab., juni-c., juni-v., kali-acet., kali-c., kali-hp., kali-n., lact., liatr., lyc., mag-s., med., merc., merc-d., mom-b., nast., nat-m., nit-s-d., onis., oxyd., phase., physal., phyt., polytr., prun., querc., samb., saroth., solid., stroph., stroph-s., sulfon., ter., teucr-s., uran-n., urea., urine., verin., vince., vip., visc.",
Homeosetu Clinical Repertory; Boericke; Dropsy; Cardiac :,"adon., arn., asc-c., aspar., coffin., coll., crat., dig., vip.",
Homeosetu Clinical Repertory; Boericke; Dropsy; Splenic :,liatr.,
Homeosetu Clinical Repertory; Boericke; Drowsiness : ,"aeth., agar., ail., alf., all-c., ant-c., ant-i., ant-t., apis., apoc., arg-n., arn., ars., asim., bell., bran., bry., calc., cann-i., caust., cham., chel., chin., chlf., cocc., Corn-f., croc., dubin., epip., gamb., gels., hydr-ac., hyper., iodof., kali-br., kali-c., lept., lim., lina., lob-p., lup., lyc., mangi., merl., morph., myric., nat-c., nat-h., nat-n., nat-sal., nux-m., nux-v., op., phos., pimp., pip-m., rhus-t., rosm., scroph-n., senec., spira., sulfon., tarent-c., ter., trinit., zinc-o.",
Homeosetu Clinical Repertory; Boericke; Dumb ague : ,chelo.,
Homeosetu Clinical Repertory; Boericke; Duodenum :,"fel., graph., Juglin., nat-s., orni., podo., symph., uran-n.",
Homeosetu Clinical Repertory; Boericke; Duodenum; Catarrh of : ,"juglin., nat-s.",
Homeosetu Clinical Repertory; Boericke; Duodenum; Ulcer of :,graph.,
Homeosetu Clinical Repertory; Boericke; Dupuytren's contraction : ,form-ac.,
Homeosetu Clinical Repertory; Boericke; Dwarfism : ,"bar-c., bar-m., med., ol-j., syph.",
Homeosetu Clinical Repertory; Boericke; Dysentery :,"ail., Alst-s., ambro., arn., ars., asc-t., bapt., bell., bol., calo., canth., chap., colch., coll., coloc., coto., cupr-ar., Emetin., erig., eucal., euphr., ferr-p., gamb., gua., ham., ip., kali-bi., kali-m., kali-p., leon., lil-t., merc-c., merc-d., mons., nux-v., puls., quas., rhus-t., hir-m., silphu., tanac., tril., trom., typh., vacc-m., xan.",
Homeosetu Clinical Repertory; Boericke; Dysmenorrhoea : ,"agar., ap-g., apiol., apis., aquil., bor., cact., calc-acet., cann-i., cast., caul., cer-ox., cocc., coff., Coll., con., crot-h., cur., dulc., elaps., frax., gels., gnaph., guai., helio., kali-ma., lac-f., mag-p., mang-o., meli., merl., mit., mom-b., murx., nat-sal., nux-v., rham-cal., senec., tanac., tarent., tub., verat., vib., xan., xero.",
Homeosetu Clinical Repertory; Boericke; Dysmenorrhoea; Membranous :,"bor., calc-acet., coll., helio., mag-p., vib.",
Homeosetu Clinical Repertory; Boericke; Dysmenorrhoea; Neuralgic :,xan.,
Homeosetu Clinical Repertory; Boericke; Dysmenorrhoea; Spasmodic : ,"agar., vib.",
Homeosetu Clinical Repertory; Boericke; Dyspareunia :,ferr-m.,
Homeosetu Clinical Repertory; Boericke; Dyspepsia : ,"abies-n., alet., all-s., am-c., anac., ang., ange., ars., asc-t., bar-c., bry., caps., carb-ac., caul., caust., chelo., crat., crot-h., eucal., fab., ferr., ferr-cit., gent-q., grat., hippoz., hom., hydr., jug-c., kali-c., lob., lyc., marr., nabal., nat-c., nat-s., nicc., nit-ac., nux-m., Nux-v., pop., puls., Quas., rham-p., sac-alb., Sal-ac., sep., serp., skat., stront-br., stry-f-c., tart-ac., thea., thuj., zinc.",
Homeosetu Clinical Repertory; Boericke; Dyspepsia; Atonic : ,"ang., ange., caps., crot-h., eucal., hydr., jug-c., quas., zinc.",
Homeosetu Clinical Repertory; Boericke; Dyspepsia; Flatulent :,"am-c., ferr., nat-s., nux-m., serp.",
Homeosetu Clinical Repertory; Boericke; Dyspepsia; Nervous :,"alet., anac., ange., crat., stront-br.",
Homeosetu Clinical Repertory; Boericke; Dysphagia :,"alumn., epil., gent-c., grat., kali-br., lac-v-f., manc., merc-d., nat-p., plat-m-n., sulfon.",
Homeosetu Clinical Repertory; Boericke; Dyspnoea : ,"abies-n., acet-ac., acon., acon-f., adon., am-c., aml-n., anis., ant-ar., ant-t., antipyrin., ap-g., apis., arg., arg-n., arn., ars., ars-i., arund., asc-i., aur., bac., bapt-c., blatta., brom., cact., cahin., caj., calc., camph., canth., caps., cean., cench., chel., chin., chin-ar., chlol., chlor., coca., cocc., colch., coll., Conv., crat., cupr., cupr-acet., cur., dig., dirc., dulc., eran., eucal., fl-ac., formal., glon., iber., ip., just., kali-i., kali-n., kalm., laur., led., lim., lob., lyc., mag-c., magn-gr., med., merc-s., morph., naja., naphtin., nat-i., nat-s., nat-sal., olnd., op., ox-ac., phle., pip-n., psor., ptel., queb., samb., sang., sarcol-ac., scroph-n., sec., senec., sep., Ser-ang., solid., spig., spong., squil., staph., stry., stry-ar., sulfon., sulph., tab., uva., viol-o., visc., zinc., ziz.",
Homeosetu Clinical Repertory; Boericke; Dysuria : ,"ant-t., calth., canth., chim., coc-c., cop., epig., Equis., eup-pur., fab., gali., gels., junc., juni-v., mit., prun., rhus-t., sant., sars., Solid., stigm., thlaspi., trib., tritic., uva.",
Homeosetu Clinical Repertory; Boericke; Ear; Affections of : ,"arg-n., viol-o.",
Homeosetu Clinical Repertory; Boericke; Ear; Boils in : ,"calc-pic., pic-ac.",
Homeosetu Clinical Repertory; Boericke; Ear; Deafness :,"chin-s., ferr-pic., iris., med., nat-sal.",
Homeosetu Clinical Repertory; Boericke; Ear; Discharge from :,"ango., con., psor., tell.",
Homeosetu Clinical Repertory; Boericke; Ear; Diseases of :,"nat-h., sin-a.",
Homeosetu Clinical Repertory; Boericke; Ear; Eczema behind :,"arund., chrysar., lyc., psor., scroph-n., stront-n., tell.",
Homeosetu Clinical Repertory; Boericke; Ear; Eczema of :,"arund., chrysar., lyc., psor., Scroph-n., staph., stront-n., tell.",
Homeosetu Clinical Repertory; Boericke; Ear; Inflammation of :,"apis., merc-d., myris., plan., rhus-v., tub-a.",
"Homeosetu Clinical Repertory; Boericke; Ear; Inflammation of, internal and external :",,
"Homeosetu Clinical Repertory; Boericke; Ear; Middle, affections of : ","ars-i., bar-m., bell., calc-f., calc-s., kali-m., mag-c., myris., nat-h., plan., sin-a., tell.",
Homeosetu Clinical Repertory; Boericke; Ear; Noises in : ,"agar., aphis., arn., bar-m., calad., calc., cimic., cit-d., coca., iris., kali-i., kali-m., lac-c., lol., mag-s., nat-sal., pic-ac., thiosin.",
Homeosetu Clinical Repertory; Boericke; Ear; Otalgia : ,"merc., naja., nat-n., nux-v., plan., puls., ter., teucr., verb.",
Homeosetu Clinical Repertory; Boericke; Ear; Otorrhoea :,"aethi-a., aethi-m., ango., ars., asaf., aur., bar-m., calc., caps., carb-v., cheir., elaps., lyc., merc-pr-r., naja., plan., psor., puls., sulph., tub., viol-o.",
Homeosetu Clinical Repertory; Boericke; Ear; Pains in : ,"acon., aesc., all-c., arn., ars., arum-d., bar-c., bell., calc., canth., caps., colch., cur., elaps., erio., Gels., helo., hyper., ichth., kali-i., lac-c., Lach., mag-p., med., merc-c., morph., nit-ac., onis., oreo., parth., phyt., plan., psor., rhus-t., sin-a., viol-o., x-ray.",
Homeosetu Clinical Repertory; Boericke; Ear; Painful :,"acon., aesc., all-c., arn., ars., arum-d., bar-c., bell., calc., canth., caps., colch., cur., elaps., erio., Gels., helo., hyper., ichth., kali-i., lac-c., Lach., mag-p., med., merc-c., morph., nit-ac., onis., oreo., parth., phyt., plan., psor., rhus-t., sin-a., viol-o., x-ray.",
Homeosetu Clinical Repertory; Boericke; Ear; Polypus of : ,calc-i.,
Homeosetu Clinical Repertory; Boericke; Ear; Reports in : ,"graph., mosch.",
Homeosetu Clinical Repertory; Boericke; Earache :,"acon., all-c., antipyrin., bar-m., cham., cur., dulc., nat-s., Plan., sang., valer., verb.",
Homeosetu Clinical Repertory; Boericke; Ecchymosis :,"aeth., arn., bell-p., Carb-v., chlol., ham., iod., kreos., led., phos., sul-ac., ter.",
Homeosetu Clinical Repertory; Boericke; Eclampsia : ,"fili-v., oena.",
Homeosetu Clinical Repertory; Boericke; Ecstasy : ,phos.,
Homeosetu Clinical Repertory; Boericke; Eczema :,"aethi-m., aln., alumn., am-c., anac., ant-c., antipyrin., aq-mar., arbu., ars-i., arund., bac., bals-p., berb., berb-a., bix., bor., bov., calc-m., calc-s., calen., canth., chrysar., cic., com., corn., corn-a., ferr-ar., form-ac., formal., frax., fuli., Graph., hippoz., ho., hydr., hyper., ichth., insulin., iris., jab., jug-c., kali-ar., kali-m., kali-s., kreos., led., lob., lob-e., lyc., maland., mang., merc-pr-r., mez., mur-ac., nat-m., osm., petr., ph-ac., plb-acet., plumbg., prim-o., psor., rhus-d., rhus-t., sanic., sars., saxon., Scroph-n., skook., staph., stront-n., sul-i., Tell., thyr., titan., torul., tub., ur-ac., urea., ust., vinc., viol-t., x-ray., xero., zea-i., zinc.",
"Homeosetu Clinical Repertory; Boericke; Elbow, pain in :","ampe-qu., arn., cinnb., gua., lycpr., menis.",
Homeosetu Clinical Repertory; Boericke; Elephantiasis :,"bix., calo., elae., hydrc., sil.",
Homeosetu Clinical Repertory; Boericke; Emaciation : ,"abrot., acal., acet-ac., arg., Ars-i., astra-me., calc-sil., caust., clem., dros., echi., erio., ferr-i., ferr-p., hydr., iod., kali-sil., lath., lyc., mag-c., nabal., nat-m., ol-j., phos., pin-s., plb., ric., sars., sec., silpho., syph., syzyg., thuj., thyr., tub., uran-n., vanad., xan.",
Homeosetu Clinical Repertory; Boericke; Emaciation; Scrofulous :,ol-j.,
Homeosetu Clinical Repertory; Boericke; Embolism :,croc.,
Homeosetu Clinical Repertory; Boericke; Embolus :,croc.,
Homeosetu Clinical Repertory; Boericke; Emissions :,"acon., agn., alum., am-c., ambr., anac., arg., arg-n., bar-c., bufo., calad., calc., camph., camph-br., Carb-s., cere-s., chin., cic., cob., cor-r., dig., dios., diosm., ery-a., ferr-m., ferr-ma., form., gins., hep., ind., kali-c., kali-p., lact., lup., lyc., lyss., med., meli., merc., mosch., nat-m., nat-p., nuph., nux-v., ol-an., onos., ph-ac., phos., pic-ac., plb., sabal., sars., scut., senec., sil., staph., sulph., tarent., thymol., Trib., uran-n., ust., viol-t., zinc., zinc-pic., zing.",
"Homeosetu Clinical Repertory; Boericke; Emissions, nocturnal : ","kali-p., med., merc., sil., uran-n., viol-t.",
"Homeosetu Clinical Repertory; Boericke; Emotions, effects of : ",coff.,
Homeosetu Clinical Repertory; Boericke; Emphysema : ,"am-c., ant-ar., ant-t., coca., cupr-ar., eucal., led., lob., myrt-ch., naphtin., phel., seneg.",
"Homeosetu Clinical Repertory; Boericke; Emptiness, sensation of :","asaf., caust., Cocc., diosm., gels., oxyt., phos., stann.",
,,
Homeosetu Clinical Repertory; Boericke; Empyema : ,"abrot., arn., calc-s., staphycoc.",
Homeosetu Clinical Repertory; Boericke; Encephalitis :,"hell., phenob.",
Homeosetu Clinical Repertory; Boericke; Endocarditis :,"adon., cact., conv., cupr-ar., magn-gr., naja., nat-i., staphycoc.",
Homeosetu Clinical Repertory; Boericke; Endometritis : ,"murx., visc.",
Homeosetu Clinical Repertory; Boericke; Enteralgia : ,"mag-p., tab.",
Homeosetu Clinical Repertory; Boericke; Enteritis :,aq-mar.,
Homeosetu Clinical Repertory; Boericke; Entropion :,bor.,
Homeosetu Clinical Repertory; Boericke; Enuresis : ,"benz-ac., calc., coca., equis., ferr-p., kali-p., kreos., lina., med., physal., plan., rad-br., rhus-a., sabal., sanic., sant., sec., sil., sulph., Thyr., uran-n., urt-u., Verb., viol-o.",
Homeosetu Clinical Repertory; Boericke; Enuresis; Diurnal :,ferr-p.,
Homeosetu Clinical Repertory; Boericke; Enuresis; Nocturnal : ,"coca., med., plan., sil., thyr.",
